venue,year,family,count,venue_year_total,share_pct
IJCAI,2020,强化学习,143,778,18.380462724935732
IJCAI,2020,推荐/检索/图,82,778,10.539845758354756
IJCAI,2020,可信安全,69,778,8.868894601542417
IJCAI,2020,其他,171,778,21.979434447300772
IJCAI,2021,视觉/三维/视频,191,722,26.454293628808866
IJCAI,2021,优化/理论,141,722,19.529085872576175
IJCAI,2021,推荐/检索/图,92,722,12.742382271468145
IJCAI,2021,可信安全,298,722,41.27423822714682
IJCAI,2022,大模型,75,862,8.700696055684455
IJCAI,2022,生成模型,121,862,14.037122969837586
IJCAI,2022,视觉/三维/视频,194,862,22.505800464037122
IJCAI,2022,强化学习,255,862,29.582366589327147
IJCAI,2022,推荐/检索/图,217,862,25.17401392111369
IJCAI,2023,大模型,155,851,18.213866039952997
IJCAI,2023,多模态,75,851,8.81316098707403
IJCAI,2023,视觉/三维/视频,156,851,18.33137485311398
IJCAI,2023,强化学习,216,851,25.381903642773207
IJCAI,2023,推荐/检索/图,84,851,9.870740305522913
IJCAI,2023,其他,165,851,19.388954171562865
IJCAI,2024,大模型,120,1048,11.450381679389313
IJCAI,2024,视觉/三维/视频,222,1048,21.183206106870227
IJCAI,2024,强化学习,126,1048,12.022900763358779
IJCAI,2024,优化/理论,121,1048,11.545801526717558
IJCAI,2024,推荐/检索/图,190,1048,18.12977099236641
IJCAI,2024,可信安全,69,1048,6.583969465648855
IJCAI,2024,其他,200,1048,19.083969465648856
IJCAI,2025,大模型,159,1280,12.421875
IJCAI,2025,多模态,277,1280,21.640625
IJCAI,2025,强化学习,235,1280,18.359375
IJCAI,2025,优化/理论,119,1280,9.296875
IJCAI,2025,推荐/检索/图,229,1280,17.890625
IJCAI,2025,可信安全,86,1280,6.71875
IJCAI,2025,AI4Science/健康,36,1280,2.8125
IJCAI,2025,其他,139,1280,10.859375
KDD,2020,推荐/检索/图,137,217,63.133640552995395
KDD,2020,可信安全,52,217,23.963133640552993
KDD,2020,其他,28,217,12.903225806451612
KDD,2021,推荐/检索/图,176,239,73.64016736401673
KDD,2021,其他,63,239,26.359832635983267
KDD,2022,大模型,43,253,16.99604743083004
KDD,2022,优化/理论,26,253,10.276679841897234
KDD,2022,推荐/检索/图,122,253,48.22134387351779
KDD,2022,其他,62,253,24.50592885375494
KDD,2023,大模型,81,313,25.878594249201274
KDD,2023,推荐/检索/图,176,313,56.23003194888179
KDD,2023,其他,56,313,17.89137380191693
KDD,2024,大模型,138,411,33.57664233576642
KDD,2024,视觉/三维/视频,52,411,12.652068126520682
KDD,2024,推荐/检索/图,179,411,43.552311435523116
KDD,2024,其他,42,411,10.218978102189782
KDD,2025,大模型,114,552,20.652173913043477
KDD,2025,视觉/三维/视频,33,552,5.978260869565218
KDD,2025,强化学习,35,552,6.340579710144928
KDD,2025,推荐/检索/图,236,552,42.7536231884058
KDD,2025,AI4Science/健康,65,552,11.77536231884058
KDD,2025,其他,69,552,12.5
NAACL,2021,大模型,49,477,10.272536687631026
NAACL,2021,生成模型,46,477,9.643605870020965
NAACL,2021,视觉/三维/视频,85,477,17.81970649895178
NAACL,2021,推荐/检索/图,54,477,11.320754716981133
NAACL,2021,可信安全,142,477,29.769392033542978
NAACL,2021,NLP/语音,59,477,12.368972746331238
NAACL,2021,其他,42,477,8.80503144654088
NAACL,2022,大模型,150,442,33.93665158371041
NAACL,2022,生成模型,39,442,8.823529411764707
NAACL,2022,视觉/三维/视频,114,442,25.791855203619914
NAACL,2022,可信安全,81,442,18.32579185520362
NAACL,2022,NLP/语音,58,442,13.122171945701359
NAACL,2024,大模型,358,562,63.70106761565836
NAACL,2024,多模态,35,562,6.227758007117438
NAACL,2024,可信安全,169,562,30.071174377224196
NAACL,2025,大模型,385,718,53.62116991643454
NAACL,2025,多模态,63,718,8.774373259052924
NAACL,2025,可信安全,173,718,24.094707520891365
NAACL,2025,NLP/语音,97,718,13.509749303621168
NeurIPS,2020,大模型,224,1898,11.801896733403582
NeurIPS,2020,视觉/三维/视频,298,1898,15.700737618545837
NeurIPS,2020,强化学习,392,1898,20.65331928345627
NeurIPS,2020,优化/理论,532,1898,28.02950474183351
NeurIPS,2020,可信安全,108,1898,5.690200210748156
