venue,year,papers,raw_outliers,final_outliers,topics_excluding_outlier,min_topic_size,model_name,algorithm,n_neighbors,min_similarity,resolution,graph_nodes,graph_edges,raw_communities,merge_methods,raw_outlier_rate,final_outlier_rate
ICRA,2022,923,0,0,12,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,923,13042,12,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain'}",0.0,0.0
IJCAI,2022,862,0,0,9,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,862,12164,9,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain'}",0.0,0.0
IROS,2022,1202,0,0,9,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1202,17412,9,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain'}",0.0,0.0
KDD,2022,253,0,0,7,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,253,3584,8,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'merged_small_to_1'}",0.0,0.0
MICCAI,2022,71,0,0,3,7,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,71,945,4,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'merged_small_to_2'}",0.0,0.0
NAACL,2022,442,0,0,9,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,442,6394,9,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain'}",0.0,0.0
NeurIPS,2022,2671,0,0,15,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,2671,38802,15,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain', 14: 'louvain'}",0.0,0.0
RSS,2022,67,0,0,4,6,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,67,860,5,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'merged_small_to_0'}",0.0,0.0
SIGGRAPH,2022,51,0,0,5,5,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,51,669,5,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain'}",0.0,0.0
SIGGRAPH-Asia,2022,50,0,0,4,5,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,50,668,7,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 5: 'merged_small_to_0', 6: 'merged_small_to_1', 4: 'merged_small_to_0'}",0.0,0.0
