venue,year,papers,min_cluster_size,n_neighbors,n_components,raw_topics,raw_outliers,reassigned_outliers,final_outliers,final_topics,largest_topic,median_topic_size,seconds,output_dir
ICRA,2024,1742,8,10,15,87,481,481,0,87,64,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICRA/year=2024
IJCAI,2024,1048,8,10,15,58,150,150,0,58,51,16.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=IJCAI/year=2024
IROS,2024,1573,8,10,15,73,327,327,0,73,62,19.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=IROS/year=2024
KDD,2024,411,8,10,15,20,69,69,0,20,44,20.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=KDD/year=2024
MICCAI,2024,71,5,10,15,7,9,9,0,7,17,9.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=MICCAI/year=2024
NAACL,2024,562,8,10,15,32,66,66,0,32,49,14.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=NAACL/year=2024
NeurIPS,2024,4034,15,10,15,96,1281,1281,0,96,126,37.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=NeurIPS/year=2024
PR,2024,961,8,10,15,51,134,134,0,51,46,17.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=PR/year=2024
RSS,2024,131,6,10,15,12,17,17,0,12,19,10.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=RSS/year=2024
SIGGRAPH,2024,121,6,10,15,10,9,9,0,10,22,11.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=SIGGRAPH/year=2024
SIGGRAPH-Asia,2024,141,6,10,15,14,25,25,0,14,19,8.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=SIGGRAPH-Asia/year=2024
SIGIR,2024,214,6,10,15,19,35,35,0,19,24,11.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=SIGIR/year=2024
TIP,2024,478,8,10,15,26,47,47,0,26,35,16.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=TIP/year=2024
WWW,2024,404,8,10,15,24,43,43,0,24,39,14.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=WWW/year=2024
AAAI,2025,3028,10,10,15,119,549,549,0,119,72,22.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=AAAI/year=2025
ACL,2025,1699,8,10,15,84,451,451,0,84,74,17.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ACL/year=2025
ACMMM,2025,1249,8,10,15,60,220,220,0,60,71,17.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ACMMM/year=2025
AIJ,2025,92,6,10,15,9,12,12,0,9,19,9.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=AIJ/year=2025
CHI,2025,1243,8,10,15,63,272,270,2,63,67,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=CHI/year=2025
COLM,2025,418,8,10,15,21,92,92,0,21,33,18.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=COLM/year=2025
CVPR,2025,2871,10,10,15,121,692,692,0,121,65,21.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=CVPR/year=2025
EMNLP,2025,1809,8,10,15,98,352,352,0,98,48,17.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=EMNLP/year=2025
ICCV,2025,2701,10,10,15,107,595,595,0,107,70,22.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICCV/year=2025
