area,venue,venue_type,year,papers,abstracts,abstract_rate,doi
Multimedia / HCI / graphics,ACMMM,conference,2006,152,0,0.0,152
Multimedia / HCI / graphics,CHI,conference,2006,151,0,0.0,151
Multimedia / HCI / graphics,TMM,journal,2006,188,137,0.7287,188
NLP / language,ACL,conference,2006,147,0,0.0,0
NLP / language,EMNLP,conference,2006,73,0,0.0,0
Robotics / embodied AI,ICRA,conference,2006,680,0,0.0,680
Robotics / embodied AI,IROS,conference,2006,1006,0,0.0,1006
Robotics / embodied AI,RSS,conference,2006,39,0,0.0,39
Computer vision,IJCV,journal,2007,109,2,0.0183,108
Computer vision,PR,journal,2007,358,3,0.0084,353
Data / IR / Web / DB,ICDE,conference,2007,177,0,0.0,177
Data / IR / Web / DB,KDD,conference,2007,92,0,0.0,92
Data / IR / Web / DB,SIGIR,conference,2007,193,0,0.0,193
Data / IR / Web / DB,SIGMOD,conference,2007,128,0,0.0,128
Data / IR / Web / DB,TKDE,journal,2007,201,136,0.6766,200
Data / IR / Web / DB,VLDB,conference,2007,117,0,0.0,0
Data / IR / Web / DB,WWW,conference,2007,230,0,0.0,230
General AI,AAAI,conference,2007,292,0,0.0,0
General AI,IJCAI,conference,2007,478,0,0.0,0
ML / learning,ICML,conference,2007,150,0,0.0,150
ML / learning,NeurIPS,conference,2007,217,10,0.0461,0
Medical AI,MICCAI,conference,2007,120,0,0.0,120
Multimedia / HCI / graphics,ACMMM,conference,2007,157,0,0.0,157
Multimedia / HCI / graphics,CHI,conference,2007,182,0,0.0,182
Multimedia / HCI / graphics,TMM,journal,2007,196,142,0.7245,196
NLP / language,EMNLP,conference,2007,131,0,0.0,0
NLP / language,NAACL,conference,2007,89,0,0.0,0
Robotics / embodied AI,ICRA,conference,2007,807,0,0.0,807
Robotics / embodied AI,IROS,conference,2007,688,0,0.0,688
Robotics / embodied AI,RSS,conference,2007,42,0,0.0,41
AI journals,AIJ,journal,2008,80,0,0.0,80
Computer vision,ECCV,conference,2008,59,0,0.0,59
Computer vision,IJCV,journal,2008,79,7,0.0886,79
Computer vision,PR,journal,2008,375,20,0.0533,362
Computer vision,TPAMI,journal,2008,314,260,0.828,310
Data / IR / Web / DB,ICDE,conference,2008,216,0,0.0,216
Data / IR / Web / DB,KDD,conference,2008,95,0,0.0,95
Data / IR / Web / DB,SIGIR,conference,2008,185,0,0.0,185
Data / IR / Web / DB,SIGMOD,conference,2008,94,0,0.0,94
Data / IR / Web / DB,WWW,conference,2008,219,0,0.0,219
General AI,AAAI,conference,2008,296,0,0.0,0
ML / learning,ICML,conference,2008,157,0,0.0,157
ML / learning,JMLR,journal,2008,47,46,0.9787,41
ML / learning,NeurIPS,conference,2008,250,25,0.1,0
ML / learning,TNNLS,journal,2008,2,2,1.0,2
Medical AI,MICCAI,conference,2008,125,0,0.0,125
Multimedia / HCI / graphics,ACMMM,conference,2008,173,0,0.0,173
Multimedia / HCI / graphics,CHI,conference,2008,217,0,0.0,217
Multimedia / HCI / graphics,TMM,journal,2008,192,149,0.776,191
NLP / language,EMNLP,conference,2008,114,0,0.0,0
Robotics / embodied AI,ICRA,conference,2008,661,0,0.0,661
Robotics / embodied AI,IROS,conference,2008,687,0,0.0,687
Robotics / embodied AI,RSS,conference,2008,40,0,0.0,40
AI journals,AIJ,journal,2009,69,1,0.0145,69
Computer vision,IJCV,journal,2009,119,12,0.1008,116
Computer vision,PR,journal,2009,373,27,0.0724,360
Data / IR / Web / DB,ICDE,conference,2009,173,0,0.0,173
Data / IR / Web / DB,KDD,conference,2009,105,0,0.0,105
Data / IR / Web / DB,SIGIR,conference,2009,183,0,0.0,183
Data / IR / Web / DB,SIGMOD,conference,2009,83,0,0.0,83
Data / IR / Web / DB,WWW,conference,2009,198,0,0.0,198
General AI,IJCAI,conference,2009,339,0,0.0,0
ML / learning,ICML,conference,2009,179,0,0.0,179
ML / learning,NeurIPS,conference,2009,262,30,0.1145,0
ML / learning,TNNLS,journal,2009,3,3,1.0,3
Medical AI,MICCAI,conference,2009,125,0,0.0,125
Multimedia / HCI / graphics,ACMMM,conference,2009,161,0,0.0,161
Multimedia / HCI / graphics,CHI,conference,2009,274,0,0.0,274
Multimedia / HCI / graphics,TMM,journal,2009,187,129,0.6898,187
NLP / language,EMNLP,conference,2009,163,0,0.0,0
NLP / language,NAACL,conference,2009,75,0,0.0,0
Robotics / embodied AI,ICRA,conference,2009,707,0,0.0,707
Robotics / embodied AI,IROS,conference,2009,949,0,0.0,949
Robotics / embodied AI,RSS,conference,2009,39,0,0.0,39
AI journals,AIJ,journal,2010,117,1,0.0085,117
Computer vision,ECCV,conference,2010,57,0,0.0,57
Computer vision,PR,journal,2010,353,20,0.0567,333
Computer vision,TPAMI,journal,2010,251,192,0.7649,249
Data / IR / Web / DB,ICDE,conference,2010,124,0,0.0,124
Data / IR / Web / DB,KDD,conference,2010,101,0,0.0,101
Data / IR / Web / DB,SIGIR,conference,2010,186,0,0.0,186
Data / IR / Web / DB,SIGMOD,conference,2010,133,0,0.0,133
Data / IR / Web / DB,WWW,conference,2010,202,0,0.0,202
General AI,AAAI,conference,2010,273,252,0.9231,273
ML / learning,ICML,conference,2010,126,126,1.0,0
ML / learning,NeurIPS,conference,2010,292,27,0.0925,0
ML / learning,TNNLS,journal,2010,2,2,1.0,2
Medical AI,MICCAI,conference,2010,84,0,0.0,84
Multimedia / HCI / graphics,ACMMM,conference,2010,256,0,0.0,256
Multimedia / HCI / graphics,CHI,conference,2010,296,0,0.0,296
Multimedia / HCI / graphics,TMM,journal,2010,141,92,0.6525,141
NLP / language,ACL,conference,2010,160,0,0.0,0
NLP / language,EMNLP,conference,2010,125,0,0.0,0
NLP / language,NAACL,conference,2010,147,0,0.0,0
Robotics / embodied AI,ICRA,conference,2010,874,0,0.0,874
Robotics / embodied AI,IROS,conference,2010,993,0,0.0,993
Robotics / embodied AI,RSS,conference,2010,40,0,0.0,40
AI journals,AIJ,journal,2011,61,0,0.0,61
Computer vision,IJCV,journal,2011,100,6,0.06,99
Data / IR / Web / DB,ICDE,conference,2011,113,0,0.0,113
Data / IR / Web / DB,SIGIR,conference,2011,203,0,0.0,203
Data / IR / Web / DB,SIGMOD,conference,2011,101,0,0.0,101
